dataset,cefr_level,n,tokens_mean,tokens_median,tokens_iqr,tokens_min,tokens_max,sentences_median,ttr_200_mean,mean_word_len
apa_lha,A2,1732,55.796189376443415,48.0,42.0,10,415,4.0,0.6089859934165597,5.432632448038995
apa_lha,B1,1567,77.10402042118699,68.0,56.5,10,550,5.0,0.5908620083204243,5.62570489738432
apa_lha,ALL,3299,65.91724765080328,56.0,52.0,10,550,5.0,0.6000555073566566,5.524340398364585
deplain_apa_doc,A2,483,457.4347826086956,411.0,104.5,267,1803,48.0,0.6259730848861285,5.571809100941458
deplain_apa_doc,B1,483,495.0910973084886,440.0,107.0,309,2142,46.0,0.6575465838509318,5.776473352274811
deplain_apa_doc,ALL,966,476.26293995859214,428.0,110.0,267,2142,46.5,0.6417598343685301,5.674141226608134
elg_cefr_de,A1,31,128.1290322580645,141.0,33.0,49,167,21.0,0.7228070144978119,4.863641595457946
elg_cefr_de,A2,90,137.65555555555557,139.0,7.0,88,152,16.0,0.7550196546473875,5.060081475323845
elg_cefr_de,B1,90,137.43333333333334,141.0,8.75,82,154,14.0,0.7613526475568205,5.310457966022302
elg_cefr_de,B2,115,134.45217391304348,141.0,13.0,86,150,10.0,0.7755081446170862,5.8895694360998485
elg_cefr_de,C1,88,135.72727272727272,137.0,12.0,104,150,9.0,0.7784947494170638,5.95917165460744
elg_cefr_de,C2,95,143.9157894736842,144.0,7.5,126,168,9.0,0.7787103671990226,6.258655464050301
elg_cefr_de,ALL,509,137.14734774066798,140.0,10.0,49,168,10.0,0.7672868057198126,5.65894164837341
merlin_de,A1,55,34.127272727272725,33.0,11.0,11,64,5.0,0.8558795129920996,4.8269609513865275
merlin_de,A2,306,58.92156862745098,54.0,28.0,24,140,7.0,0.8245324102462329,4.8080278390778455
merlin_de,B1,331,116.12084592145015,105.0,63.0,28,279,11.0,0.7550437363848849,5.049788746061972
merlin_de,B2,293,193.48805460750853,193.0,57.0,65,352,15.0,0.6914614713388415,5.481920094048067
merlin_de,C1,42,224.8095238095238,216.5,55.25,149,366,14.0,0.6818179711780149,5.614338683432344
merlin_de,C2,4,244.25,241.0,58.25,191,304,13.5,0.6435536649214659,5.50979272475547
merlin_de,ALL,1031,121.68186226964113,104.0,120.5,11,366,10.0,0.7589983131383415,5.113737564684632
ALL,ALL,5805,150.35193798449612,87.0,109.0,10,2142,7.0,0.6521747204236383,5.488145413836373
