dataset,cefr_level,n,tokens_mean,tokens_median,tokens_iqr,tokens_min,tokens_max,sentences_median,ttr_200_mean,mean_word_len
cefr_asag_en,A1,17,41.88235294117647,39.0,11.0,11,82,5.0,0.7517021149204371,4.035194370498304
cefr_asag_en,A2,54,72.0925925925926,66.5,30.25,12,270,5.0,0.7137756722936928,4.1015823620357095
cefr_asag_en,B1,99,79.97979797979798,79.0,70.0,10,269,4.0,0.7320813404096147,4.248218853735624
cefr_asag_en,B2,63,84.47619047619048,58.0,70.0,13,293,3.0,0.7732667827388793,4.569641320742041
cefr_asag_en,C1,28,71.28571428571429,58.0,38.5,15,181,2.0,0.7854917586699143,4.6094314479072835
cefr_asag_en,C2,5,107.4,116.0,83.0,43,195,5.0,0.7103400324263871,4.812681672103274
cefr_asag_en,ALL,266,76.60902255639098,64.0,60.75,10,293,4.0,0.7446198836031799,4.329595152168778
elg_cefr_en,A1,25,251.68,250.0,5.0,228,287,28.0,0.5691999999999999,4.290148514746197
elg_cefr_en,A2,141,208.8368794326241,245.0,139.0,76,300,22.0,0.6441716085976825,4.322041585373791
elg_cefr_en,B1,205,272.780487804878,273.0,32.0,134,461,20.0,0.6374697528127794,4.48065532130942
elg_cefr_en,B2,174,412.0287356321839,289.0,338.75,229,759,19.0,0.6611494252873563,4.733133779116284
elg_cefr_en,C1,97,619.4742268041238,649.0,558.0,158,1322,33.0,0.6795041924426276,4.837366103831858
elg_cefr_en,C2,69,755.8985507246376,840.0,401.0,170,1165,37.0,0.6711273256760698,4.814996404206335
elg_cefr_en,ALL,711,387.61884669479605,277.0,256.0,76,1322,23.0,0.6511943576335819,4.585401489174334
icle500_en,A2,1,568.0,568.0,0.0,568,568,38.0,0.6,4.623239436619718
icle500_en,B1,114,587.2894736842105,564.0,146.75,412,817,34.5,0.591578947368421,4.6358708258760615
icle500_en,B2,218,594.9954128440367,575.0,132.5,405,858,31.5,0.6119724770642202,4.6835380966619855
icle500_en,C1,91,622.010989010989,604.0,188.0,413,851,32.0,0.6293406593406593,4.775547851368104
icle500_en,C2,64,643.65625,637.0,140.0,432,824,32.0,0.6302343750000001,4.804751106776067
icle500_en,ALL,488,604.5594262295082,586.0,147.5,405,858,32.0,0.6128176229508195,4.705333491735592
ALL,ALL,1465,403.4129692832764,296.0,367.0,10,1322,24.0,0.6540762186705372,4.578904787199192
