level,cmh_chi2,df,p,n_strata,cond_number,p_holm,corpus
A2,29.409274917203934,14,0.00919514113525849,4,45.50785468833647,0.018390282270516978,apa_lha
B1,29.40927491720394,14,0.009195141135258489,4,45.50785468833647,0.018390282270516978,apa_lha
A2,13.308746149376255,12,0.3470048120223828,4,551.4266511656998,0.6940096240447654,deplain_apa_doc
B1,13.308746149376253,12,0.3470048120223827,4,551.4266511656998,0.6940096240447654,deplain_apa_doc
A1,50.61603509411677,14,4.813237362995401e-06,4,230.6390029599429,2.8879424177972402e-05,elg_cefr_de
A2,35.18582148133399,14,0.0013797368429402056,4,108.83613421435004,0.004139210528820617,elg_cefr_de
B1,26.95573214239458,14,0.019510319482459165,4,120.57196627717309,0.03902063896491833,elg_cefr_de
B2,12.255244710830524,14,0.5858128521375188,4,147.41761299884246,0.5858128521375188,elg_cefr_de
C1,48.53143244010729,14,1.073198461447168e-05,4,128.2799352502425,5.36599230723584e-05,elg_cefr_de
C2,40.06300199634427,14,0.00024941426360950005,4,107.32736691163461,0.0009976570544380002,elg_cefr_de
A1,28.111244597837775,6,8.953647045165802e-05,2,1634.471376712903,0.00026860941135497407,merlin_de
A2,18.75652745252227,7,0.008985240921205893,3,46.33243595053257,0.017970481842411786,merlin_de
B1,48.430319551910515,7,2.9333454836658168e-08,4,41.570841957378974,1.1733381934663267e-07,merlin_de
B2,57.713133643869185,7,4.312193604351667e-10,3,474.60490665346225,2.1560968021758335e-09,merlin_de
C1,7.524755097835838,6,0.2750276095964504,2,28.59576542584566,0.2750276095964504,merlin_de
