level,cmh_chi2,df,p,n_strata,cond_number,p_holm,corpus
A1,19.212962915792787,10,0.03763963437450765,3,58.934044447175346,0.07780899979997513,cefr_asag_en
A2,36.4644067611231,11,0.000141622528437887,4,139.04699765112196,0.0008497351706273221,cefr_asag_en
B1,21.804009812406036,11,0.025936333266658375,4,78.84345294781457,0.07780899979997513,cefr_asag_en
B2,27.131996319245903,11,0.004388847365302386,4,83.53473126614745,0.019153475276374895,cefr_asag_en
C1,27.521263395502345,11,0.003830695055274979,4,106.25964907386273,0.019153475276374895,cefr_asag_en
C2,8.596319899966396,9,0.4753396293734,2,61.287092899519486,0.4753396293734,cefr_asag_en
A1,18.924920282036187,14,0.167837955242642,3,221.65941803131747,0.167837955242642,elg_cefr_en
A2,47.94548496351214,14,1.34215908589807e-05,3,147.03427285075605,5.36863634359228e-05,elg_cefr_en
B1,59.548054234408994,14,1.407853500201659e-07,3,140.50318796741107,7.039267501008295e-07,elg_cefr_en
B2,88.29970652837872,14,7.942438040299548e-13,4,175.44976532822272,4.765462824179729e-12,elg_cefr_en
C1,39.972269332637836,14,0.00025767518089969324,4,218.41643919261574,0.0007730255426990798,elg_cefr_en
C2,24.363986258353464,13,0.027942344335674968,3,153.75402373781898,0.055884688671349936,elg_cefr_en
B1,32.05750289852252,10,0.0003916970536108948,4,307.9027910065483,0.0015667882144435792,icle500_en
B2,8.683818440211713,10,0.5623500583361943,4,298.4284722324786,1.0,icle500_en
C1,10.848198150406606,10,0.3694665160158258,4,260.33138881556874,1.0,icle500_en
C2,9.324969574380685,10,0.5015654150525826,4,249.39177756304755,1.0,icle500_en
