dataset,cefr_level,n,mean,median,q25,q75
apa_lha,A2,1732,55.796189376443415,48.0,29.0,71.0
apa_lha,B1,1567,77.10402042118699,68.0,44.0,100.5
deplain_apa_doc,A2,483,457.4347826086956,411.0,368.5,473.0
deplain_apa_doc,B1,483,495.0910973084886,440.0,399.0,506.0
elg_cefr_de,A1,31,128.1290322580645,141.0,114.5,147.5
elg_cefr_de,A2,90,137.65555555555557,139.0,135.0,142.0
elg_cefr_de,B1,90,137.43333333333334,141.0,135.25,144.0
elg_cefr_de,B2,115,134.45217391304348,141.0,132.0,145.0
elg_cefr_de,C1,88,135.72727272727272,137.0,130.0,142.0
elg_cefr_de,C2,95,143.9157894736842,144.0,140.0,147.5
merlin_de,A1,55,34.127272727272725,33.0,29.0,40.0
merlin_de,A2,306,58.92156862745098,54.0,42.0,70.0
merlin_de,B1,331,116.12084592145015,105.0,82.0,145.0
merlin_de,B2,293,193.48805460750853,193.0,164.0,221.0
merlin_de,C1,42,224.8095238095238,216.5,193.25,248.5
merlin_de,C2,4,244.25,241.0,213.5,271.75
