dataset,cefr_level,n,mean,median,q25,q75
cefr_asag_en,A1,17,41.88235294117647,39.0,34.0,45.0
cefr_asag_en,A2,54,72.0925925925926,66.5,52.75,83.0
cefr_asag_en,B1,99,79.97979797979798,79.0,34.5,104.5
cefr_asag_en,B2,63,84.47619047619048,58.0,35.5,105.5
cefr_asag_en,C1,28,71.28571428571429,58.0,38.75,77.25
cefr_asag_en,C2,5,107.4,116.0,50.0,133.0
elg_cefr_en,A1,25,251.68,250.0,248.0,253.0
elg_cefr_en,A2,141,208.8368794326241,245.0,127.0,266.0
elg_cefr_en,B1,205,272.780487804878,273.0,255.0,287.0
elg_cefr_en,B2,174,412.0287356321839,289.0,267.25,606.0
elg_cefr_en,C1,97,619.4742268041238,649.0,278.0,836.0
elg_cefr_en,C2,69,755.8985507246376,840.0,506.0,907.0
icle500_en,A2,1,568.0,568.0,568.0,568.0
icle500_en,B1,114,587.2894736842105,564.0,515.25,662.0
icle500_en,B2,218,594.9954128440367,575.0,524.25,656.75
icle500_en,C1,91,622.010989010989,604.0,534.0,722.0
icle500_en,C2,64,643.65625,637.0,580.5,720.5
