i,j,similarity,dataset_i,dataset_j,level_i,level_j,same_corpus,pair_id_i,pair_id_j
1051,1278,0.9149,elg_cefr_de,elg_cefr_de,B1,B2,True,elg_cefr_de__1051,elg_cefr_de__1278
1052,1279,0.9464,elg_cefr_de,elg_cefr_de,B1,B2,True,elg_cefr_de__1052,elg_cefr_de__1279
1053,1054,0.9966,elg_cefr_de,elg_cefr_de,B1,B1,True,elg_cefr_de__1053,elg_cefr_de__1054
1056,1057,0.9143,elg_cefr_de,elg_cefr_de,B1,B1,True,elg_cefr_de__1056,elg_cefr_de__1057
1090,1091,0.9614,elg_cefr_de,elg_cefr_de,B1,B1,True,elg_cefr_de__1090,elg_cefr_de__1091
1090,1235,0.9566,elg_cefr_de,elg_cefr_de,B1,B1,True,elg_cefr_de__1090,elg_cefr_de__1235
1091,1235,0.9778,elg_cefr_de,elg_cefr_de,B1,B1,True,elg_cefr_de__1091,elg_cefr_de__1235
1096,1236,0.9647,elg_cefr_de,elg_cefr_de,B1,B1,True,elg_cefr_de__1096,elg_cefr_de__1236
1180,1181,0.8633,elg_cefr_de,elg_cefr_de,A2,A2,True,elg_cefr_de__1180,elg_cefr_de__1181
1204,1205,0.9959,elg_cefr_de,elg_cefr_de,A2,A2,True,elg_cefr_de__1204,elg_cefr_de__1205
1241,1253,0.9332,elg_cefr_de,elg_cefr_de,B2,B2,True,elg_cefr_de__1241,elg_cefr_de__1253
1407,1408,0.8818,elg_cefr_de,elg_cefr_de,C1,C1,True,elg_cefr_de__1407,elg_cefr_de__1408
1540,2934,0.8601,apa_lha,apa_lha,A2,A2,True,apa_lha_0_2019,apa_lha_583_2019
1541,3272,0.8618,apa_lha,apa_lha,A2,B1,True,apa_lha_1000_2020,apa_lha_1000_2020
1544,3178,0.8691,apa_lha,apa_lha,A2,A2,True,apa_lha_1003_2020,apa_lha_879_2020
1545,1561,0.8999,apa_lha,apa_lha,A2,A2,True,apa_lha_1004_2020,apa_lha_1024_2019
1559,3225,0.8594,apa_lha,apa_lha,A2,A2,True,apa_lha_1021_2020,apa_lha_939_2020
1572,3301,0.8586,apa_lha,apa_lha,A2,B1,True,apa_lha_1041_2020,apa_lha_1041_2020
1574,2479,0.8859,apa_lha,apa_lha,A2,A2,True,apa_lha_1043_2020,apa_lha_2167_2021
1591,3316,0.8809,apa_lha,apa_lha,A2,B1,True,apa_lha_1061_2020,apa_lha_1061_2020
1649,2767,0.8844,apa_lha,apa_lha,A2,A2,True,apa_lha_1140_2020,apa_lha_393_2019
1651,3361,0.8521,apa_lha,apa_lha,A2,B1,True,apa_lha_1142_2020,apa_lha_1142_2020
1750,3824,0.8539,apa_lha,apa_lha,A2,B1,True,apa_lha_126_2019,apa_lha_182_2019
1778,3470,0.881,apa_lha,apa_lha,A2,B1,True,apa_lha_1300_2020,apa_lha_1300_2020
1796,3487,0.8842,apa_lha,apa_lha,A2,B1,True,apa_lha_132_2019,apa_lha_132_2019
1809,3497,0.905,apa_lha,apa_lha,A2,B1,True,apa_lha_1351_2020,apa_lha_1351_2020
1837,3517,0.8849,apa_lha,apa_lha,A2,B1,True,apa_lha_1396_2020,apa_lha_1396_2020
1889,3557,0.8852,apa_lha,apa_lha,A2,B1,True,apa_lha_1467_2020,apa_lha_1467_2020
1929,3593,0.8559,apa_lha,apa_lha,A2,B1,True,apa_lha_1515_2020,apa_lha_1515_2020
1956,3612,0.9058,apa_lha,apa_lha,A2,B1,True,apa_lha_1544_2020,apa_lha_1544_2020
1980,3632,0.8596,apa_lha,apa_lha,A2,B1,True,apa_lha_1571_2020,apa_lha_1571_2020
