i,j,similarity,dataset_i,dataset_j,level_i,level_j
4839,2763,0.531,deplain_apa_doc,apa_lha,B1,A2
4840,2665,0.5254,deplain_apa_doc,apa_lha,B1,A2
4841,3076,0.802,deplain_apa_doc,apa_lha,B1,A2
4842,3624,0.3356,deplain_apa_doc,apa_lha,B1,B1
4843,4541,0.6422,deplain_apa_doc,apa_lha,B1,B1
4844,2893,0.518,deplain_apa_doc,apa_lha,B1,A2
4845,2703,0.5336,deplain_apa_doc,apa_lha,B1,A2
4846,4509,0.5514,deplain_apa_doc,apa_lha,B1,B1
4847,4054,0.6863,deplain_apa_doc,apa_lha,B1,B1
4848,3032,0.5108,deplain_apa_doc,apa_lha,B1,A2
4849,3824,0.5471,deplain_apa_doc,apa_lha,B1,B1
4850,2626,0.4327,deplain_apa_doc,apa_lha,B1,A2
4851,4405,0.4608,deplain_apa_doc,apa_lha,B1,B1
4852,4398,0.5309,deplain_apa_doc,apa_lha,B1,B1
4853,3580,0.4484,deplain_apa_doc,apa_lha,B1,B1
4854,4606,0.4903,deplain_apa_doc,apa_lha,B1,B1
4855,4627,0.5333,deplain_apa_doc,apa_lha,B1,B1
4856,4327,0.6444,deplain_apa_doc,apa_lha,B1,B1
4857,2720,0.5024,deplain_apa_doc,apa_lha,B1,A2
4858,4423,0.5345,deplain_apa_doc,apa_lha,B1,B1
4859,2847,0.5853,deplain_apa_doc,apa_lha,B1,A2
4860,4375,0.5223,deplain_apa_doc,apa_lha,B1,B1
4861,2857,0.5237,deplain_apa_doc,apa_lha,B1,A2
4862,2922,0.6193,deplain_apa_doc,apa_lha,B1,A2
4863,4382,0.405,deplain_apa_doc,apa_lha,B1,B1
4864,4394,0.5874,deplain_apa_doc,apa_lha,B1,B1
4865,4762,0.5555,deplain_apa_doc,apa_lha,B1,B1
4866,4231,0.663,deplain_apa_doc,apa_lha,B1,B1
4867,4231,0.6018,deplain_apa_doc,apa_lha,B1,B1
4868,2790,0.3972,deplain_apa_doc,apa_lha,B1,A2
4869,4755,0.4984,deplain_apa_doc,apa_lha,B1,B1
4870,4566,0.5377,deplain_apa_doc,apa_lha,B1,B1
4871,3631,0.463,deplain_apa_doc,apa_lha,B1,B1
4872,4627,0.6059,deplain_apa_doc,apa_lha,B1,B1
4873,4688,0.5019,deplain_apa_doc,apa_lha,B1,B1
4874,4462,0.5004,deplain_apa_doc,apa_lha,B1,B1
4875,4597,0.677,deplain_apa_doc,apa_lha,B1,B1
4876,4729,0.4408,deplain_apa_doc,apa_lha,B1,B1
4877,3888,0.4078,deplain_apa_doc,apa_lha,B1,B1
4878,4728,0.5832,deplain_apa_doc,apa_lha,B1,B1
4879,4431,0.6751,deplain_apa_doc,apa_lha,B1,B1
4880,3082,0.3736,deplain_apa_doc,apa_lha,B1,A2
4881,4628,0.599,deplain_apa_doc,apa_lha,B1,B1
4882,4687,0.4924,deplain_apa_doc,apa_lha,B1,B1
4883,4702,0.5878,deplain_apa_doc,apa_lha,B1,B1
4884,4527,0.5302,deplain_apa_doc,apa_lha,B1,B1
4885,4725,0.6491,deplain_apa_doc,apa_lha,B1,B1
4886,1570,0.3945,deplain_apa_doc,apa_lha,B1,A2
4887,3548,0.6783,deplain_apa_doc,apa_lha,B1,B1
4888,4452,0.5495,deplain_apa_doc,apa_lha,B1,B1
4889,4707,0.4856,deplain_apa_doc,apa_lha,B1,B1
4890,4731,0.6114,deplain_apa_doc,apa_lha,B1,B1
4891,4793,0.5858,deplain_apa_doc,apa_lha,B1,B1
4892,4627,0.6325,deplain_apa_doc,apa_lha,B1,B1
4893,4721,0.5457,deplain_apa_doc,apa_lha,B1,B1
4894,4627,0.5745,deplain_apa_doc,apa_lha,B1,B1
4895,2824,0.4019,deplain_apa_doc,apa_lha,B1,A2
4896,4488,0.5235,deplain_apa_doc,apa_lha,B1,B1
4897,3049,0.6156,deplain_apa_doc,apa_lha,B1,A2
4898,3913,0.6115,deplain_apa_doc,apa_lha,B1,B1
4899,4662,0.5991,deplain_apa_doc,apa_lha,B1,B1
4900,4733,0.4855,deplain_apa_doc,apa_lha,B1,B1
4901,4519,0.4962,deplain_apa_doc,apa_lha,B1,B1
4902,4413,0.5241,deplain_apa_doc,apa_lha,B1,B1
4903,3983,0.408,deplain_apa_doc,apa_lha,B1,B1
4904,4660,0.5994,deplain_apa_doc,apa_lha,B1,B1
4905,4345,0.5083,deplain_apa_doc,apa_lha,B1,B1
4906,3702,0.4502,deplain_apa_doc,apa_lha,B1,B1
4907,4530,0.5419,deplain_apa_doc,apa_lha,B1,B1
4908,4317,0.4682,deplain_apa_doc,apa_lha,B1,B1
4909,4657,0.5899,deplain_apa_doc,apa_lha,B1,B1
4910,3847,0.6462,deplain_apa_doc,apa_lha,B1,B1
4911,3463,0.5345,deplain_apa_doc,apa_lha,B1,B1
4912,4344,0.5605,deplain_apa_doc,apa_lha,B1,B1
4913,4627,0.5243,deplain_apa_doc,apa_lha,B1,B1
4914,4698,0.4636,deplain_apa_doc,apa_lha,B1,B1
4915,2674,0.4892,deplain_apa_doc,apa_lha,B1,A2
4916,4479,0.6642,deplain_apa_doc,apa_lha,B1,B1
4917,3035,0.6127,deplain_apa_doc,apa_lha,B1,A2
4918,4079,0.487,deplain_apa_doc,apa_lha,B1,B1
4919,3152,0.485,deplain_apa_doc,apa_lha,B1,A2
4920,4645,0.4112,deplain_apa_doc,apa_lha,B1,B1
4921,4638,0.6854,deplain_apa_doc,apa_lha,B1,B1
4922,4501,0.6121,deplain_apa_doc,apa_lha,B1,B1
4923,2922,0.6484,deplain_apa_doc,apa_lha,B1,A2
4924,4391,0.621,deplain_apa_doc,apa_lha,B1,B1
4925,4353,0.5431,deplain_apa_doc,apa_lha,B1,B1
4926,4685,0.3947,deplain_apa_doc,apa_lha,B1,B1
4927,4353,0.5473,deplain_apa_doc,apa_lha,B1,B1
4928,4588,0.6556,deplain_apa_doc,apa_lha,B1,B1
4929,4563,0.5168,deplain_apa_doc,apa_lha,B1,B1
4930,2861,0.3714,deplain_apa_doc,apa_lha,B1,A2
4931,4144,0.4627,deplain_apa_doc,apa_lha,B1,B1
4932,3546,0.4134,deplain_apa_doc,apa_lha,B1,B1
