n_topics,measure,value,p
10,cramers_v_apa_lha,0.0,6.7e-01
10,cramers_v_deplain_apa_doc,0.0,9.6e-01
10,cramers_v_elg_cefr_de,0.218,1.4e-15
10,cramers_v_merlin_de,0.358,7.6e-103
10,topic_mixture_macro_f1,0.25,
10,topic_mixture_weighted_f1,0.458,
10,topic_mixture_accuracy,0.48,
15,cramers_v_apa_lha,0.045,1.1e-01
15,cramers_v_deplain_apa_doc,0.06,2.1e-01
15,cramers_v_elg_cefr_de,0.205,3.8e-11
15,cramers_v_merlin_de,0.357,1.7e-122
15,topic_mixture_macro_f1,0.26,
15,topic_mixture_weighted_f1,0.485,
15,topic_mixture_accuracy,0.508,
20,cramers_v_apa_lha,0.088,8.5e-04
20,cramers_v_deplain_apa_doc,0.15,1.1e-03
20,cramers_v_elg_cefr_de,0.219,1.9e-11
20,cramers_v_merlin_de,0.369,1.1e-123
20,topic_mixture_macro_f1,0.268,
20,topic_mixture_weighted_f1,0.49,
20,topic_mixture_accuracy,0.514,
