n_topics,measure,value,p
10,cramers_v_cefr_asag_en,0.248,5.6e-10
10,cramers_v_elg_cefr_en,0.131,9.9e-07
10,cramers_v_icle500_en,0.099,2.2e-02
10,topic_mixture_macro_f1,0.187,
10,topic_mixture_weighted_f1,0.301,
10,topic_mixture_accuracy,0.369,
15,cramers_v_cefr_asag_en,0.235,1.2e-07
15,cramers_v_elg_cefr_en,0.204,5.6e-17
15,cramers_v_icle500_en,0.088,5.6e-02
15,topic_mixture_macro_f1,0.214,
15,topic_mixture_weighted_f1,0.326,
15,topic_mixture_accuracy,0.391,
20,cramers_v_cefr_asag_en,0.287,1.1e-10
20,cramers_v_elg_cefr_en,0.209,8.5e-16
20,cramers_v_icle500_en,0.109,1.1e-02
20,topic_mixture_macro_f1,0.233,
20,topic_mixture_weighted_f1,0.34,
20,topic_mixture_accuracy,0.398,
