level,topic,topic_label,observed,expected,obs_over_exp,std_residual
B2,4,4: deutschland/deutsch/deutsche (Au-pair stays in Germany / learning German),86,15.3,5.64,19.15
B2,8,8: kultur/traditionen/heimatlandes (Essays on home vs host-country culture),85,18.8,4.53,16.23
B2,12,12: geehrte/praktikum/spezialist (IT internship applications),59,11.9,4.97,14.39
C1,8,8: kultur/traditionen/heimatlandes (Essays on home vs host-country culture),39,6.0,6.52,13.98
B2,2,2: stadt/grüßen/freundlichen (Formal letters seeking housing),96,27.8,3.45,13.88
C2,8,8: kultur/traditionen/heimatlandes (Essays on home vs host-country culture),32,4.6,7.03,13.28
A1,7,7: liebe/bitte/julia (Informal notes about everyday arrangements),35,6.9,5.08,11.25
A1,14,14: baby/jens/babys (Congratulations on a birth),26,4.5,5.79,10.51
C1,12,12: geehrte/praktikum/spezialist (IT internship applications),22,3.8,5.81,9.61
A2,4,4: deutschland/deutsch/deutsche (Au-pair stays in Germany / learning German),32,97.6,0.33,-9.12
A2,8,8: kultur/traditionen/heimatlandes (Essays on home vs host-country culture),48,120.1,0.4,-9.08
B2,0,0: österreich/niederösterreich/oberösterreich (Austrian regional Covid measures),0,52.4,0.0,-8.04
C1,4,4: deutschland/deutsch/deutsche (Au-pair stays in Germany / learning German),22,4.9,4.53,8.02
B2,13,"13: österreichische/europa/ländern (Austrian/European news (travel, economy, sport))",5,52.5,0.1,-7.28
A2,12,12: geehrte/praktikum/spezialist (IT internship applications),30,76.0,0.39,-7.22
B2,6,6: virus/krise/corona (Covid pandemic and health),4,49.6,0.08,-7.17
A2,0,0: österreich/niederösterreich/oberösterreich (Austrian regional Covid measures),421,335.1,1.26,6.78
B1,13,"13: österreichische/europa/ländern (Austrian/European news (travel, economy, sport))",400,318.0,1.26,6.5
B1,8,8: kultur/traditionen/heimatlandes (Essays on home vs host-country culture),63,113.7,0.55,-6.42
B2,3,3: regierung/partei/wahl (Austrian domestic politics),1,26.4,0.04,-5.3
B2,11,11: österreicher/meisten/oberösterreich (Austrian survey and opinion reporting),1,24.1,0.04,-5.03
C2,12,12: geehrte/praktikum/spezialist (IT internship applications),11,2.9,3.82,4.89
B2,5,5: trump/präsident/demokraten (US politics),0,19.9,0.0,-4.74
C1,0,0: österreich/niederösterreich/oberösterreich (Austrian regional Covid measures),0,16.7,0.0,-4.42
B1,4,4: deutschland/deutsch/deutsche (Au-pair stays in Germany / learning German),62,92.4,0.67,-4.25
A2,1,1: grüße/wünsche/liebe (Informal greeting and invitation letters),84,116.9,0.72,-4.2
A2,6,6: virus/krise/corona (Covid pandemic and health),368,317.5,1.16,4.07
B1,12,12: geehrte/praktikum/spezialist (IT internship applications),47,71.9,0.65,-3.94
C2,4,4: deutschland/deutsch/deutsche (Au-pair stays in Germany / learning German),11,3.7,2.97,3.9
A2,2,2: stadt/grüßen/freundlichen (Formal letters seeking housing),141,178.1,0.79,-3.88
B1,7,7: liebe/bitte/julia (Informal notes about everyday arrangements),159,197.9,0.8,-3.81
C1,6,6: virus/krise/corona (Covid pandemic and health),2,15.8,0.13,-3.75
C1,13,"13: österreichische/europa/ländern (Austrian/European news (travel, economy, sport))",3,16.7,0.18,-3.64
