level,topic,topic_label,observed,expected,obs_over_exp,std_residual
A2,10,10: day/people/looked,125,58.3,2.14,11.19
B2,10,10: day/people/looked,82,135.4,0.61,-6.6
A1,10,10: day/people/looked,31,12.5,2.48,6.34
B2,12,12: legislative/legislators/government,27,13.0,2.07,4.72
A2,14,14: travel/country/trip,39,20.5,1.91,4.65
C1,10,10: day/people/looked,36,64.3,0.56,-4.56
A2,0,0: university/students/theoretical,0,14.7,0.0,-4.29
B1,6,6: religion/opium/century,6,20.3,0.3,-3.84
C1,6,6: religion/opium/century,21,10.5,2.01,3.61
B2,14,14: travel/country/trip,28,47.5,0.59,-3.6
A2,3,3: feminists/feminism/feminist,0,10.2,0.0,-3.52
C2,6,6: religion/opium/century,15,6.7,2.24,3.46
A2,6,6: religion/opium/century,0,9.5,0.0,-3.39
B2,2,2: imagination/dreaming/modern,40,26.1,1.53,3.38
A2,2,2: imagination/dreaming/modern,1,11.2,0.09,-3.38
C2,10,10: day/people/looked,24,41.1,0.58,-3.34
A2,4,4: money/evil/rich,3,13.2,0.23,-3.13
B1,12,12: legislative/legislators/government,3,12.0,0.25,-3.11
A2,13,13: social/networks/people,1,9.4,0.11,-3.01
C1,13,13: social/networks/people,19,10.3,1.84,3.0
A2,7,7: book/read/writing,2,9.9,0.2,-2.77
B1,8,8: phones/mobile/phone,1,6.8,0.15,-2.67
A2,5,5: punishment/murder/death,1,7.8,0.13,-2.66
B2,3,3: feminists/feminism/feminist,34,23.6,1.44,2.65
B2,5,5: punishment/murder/death,27,18.0,1.5,2.6
C1,8,8: phones/mobile/phone,8,3.5,2.26,2.59
A2,1,1: prison/criminals/prisons,0,5.6,0.0,-2.58
B2,7,7: book/read/writing,13,23.0,0.57,-2.57
C1,7,7: book/read/writing,18,10.9,1.65,2.39
C2,2,2: imagination/dreaming/modern,14,7.9,1.77,2.34
B2,0,0: university/students/theoretical,45,34.2,1.32,2.32
A2,9,9: english/learn/teacher,14,8.0,1.74,2.31
B1,2,2: imagination/dreaming/modern,15,24.0,0.63,-2.23
C1,9,9: english/learn/teacher,3,8.8,0.34,-2.17
B1,13,13: social/networks/people,12,20.0,0.6,-2.16
A2,12,12: legislative/legislators/government,1,5.6,0.18,-2.12
B1,7,7: book/read/writing,29,21.1,1.37,2.08
B2,8,8: phones/mobile/phone,12,7.5,1.61,2.02
B1,14,14: travel/country/trip,54,43.7,1.24,1.96
C2,13,13: social/networks/people,11,6.6,1.67,1.85
B2,6,6: religion/opium/century,29,22.1,1.32,1.83
C1,14,14: travel/country/trip,15,22.6,0.66,-1.82
A1,4,4: money/evil/rich,0,2.8,0.0,-1.77
B1,9,9: english/learn/teacher,23,17.1,1.34,1.72
B1,10,10: day/people/looked,138,124.4,1.11,1.72
C2,7,7: book/read/writing,11,7.0,1.58,1.65
A1,2,2: imagination/dreaming/modern,0,2.4,0.0,-1.62
B2,9,9: english/learn/teacher,13,18.6,0.7,-1.61
A1,3,3: feminists/feminism/feminist,0,2.2,0.0,-1.54
A1,6,6: religion/opium/century,0,2.0,0.0,-1.48
A1,13,13: social/networks/people,0,2.0,0.0,-1.47
C2,11,11: king/queen/royal,3,6.2,0.48,-1.39
B2,13,13: social/networks/people,27,21.7,1.24,1.39
A1,14,14: travel/country/trip,7,4.4,1.6,1.34
B2,1,1: prison/criminals/prisons,17,13.0,1.3,1.34
A2,8,8: phones/mobile/phone,1,3.2,0.31,-1.34
A1,5,5: punishment/murder/death,0,1.7,0.0,-1.34
B1,4,4: money/evil/rich,34,28.2,1.2,1.33
C2,14,14: travel/country/trip,10,14.4,0.69,-1.29
A1,0,0: university/students/theoretical,1,3.2,0.32,-1.28
B2,11,11: king/queen/royal,25,20.5,1.22,1.23
B2,4,4: money/evil/rich,36,30.7,1.17,1.18
C1,11,11: king/queen/royal,13,9.7,1.34,1.16
C2,3,3: feminists/feminism/feminist,10,7.2,1.4,1.15
A1,12,12: legislative/legislators/government,0,1.2,0.0,-1.13
A1,1,1: prison/criminals/prisons,0,1.2,0.0,-1.13
B1,0,0: university/students/theoretical,36,31.4,1.15,1.01
B1,3,3: feminists/feminism/feminist,18,21.7,0.83,-0.96
C1,3,3: feminists/feminism/feminist,14,11.2,1.25,0.93
A1,8,8: phones/mobile/phone,0,0.7,0.0,-0.85
A1,7,7: book/read/writing,1,2.1,0.47,-0.8
B1,11,11: king/queen/royal,16,18.8,0.85,-0.79
B1,5,5: punishment/murder/death,19,16.5,1.15,0.73
B1,1,1: prison/criminals/prisons,14,12.0,1.17,0.7
A1,11,11: king/queen/royal,1,1.9,0.53,-0.67
C2,5,5: punishment/murder/death,4,5.5,0.73,-0.67
C1,5,5: punishment/murder/death,7,8.6,0.82,-0.59
A1,9,9: english/learn/teacher,1,1.7,0.58,-0.57
C1,2,2: imagination/dreaming/modern,14,12.4,1.13,0.51
C1,0,0: university/students/theoretical,18,16.2,1.11,0.5
C1,4,4: money/evil/rich,16,14.6,1.1,0.41
C1,1,1: prison/criminals/prisons,7,6.2,1.13,0.36
C1,12,12: legislative/legislators/government,7,6.2,1.13,0.36
A2,11,11: king/queen/royal,8,8.8,0.91,-0.31
C2,4,4: money/evil/rich,10,9.3,1.07,0.24
C2,8,8: phones/mobile/phone,2,2.3,0.88,-0.18
C2,9,9: english/learn/teacher,6,5.7,1.06,0.16
C2,0,0: university/students/theoretical,10,10.4,0.97,-0.12
C2,1,1: prison/criminals/prisons,4,4.0,1.01,0.02
C2,12,12: legislative/legislators/government,4,4.0,1.01,0.02
