level,topic,topic_label,observed,expected,obs_over_exp,std_residual
A1,14,14: baby/jens/babys (Congratulations on a birth),24,3.6,6.71,11.48
B2,8,8: kultur/traditionen/heimatlandes (Essays on home vs host-country culture),65,26.1,2.49,9.41
B2,7,7: liebe/bitte/julia (Informal notes about everyday arrangements),5,59.7,0.08,-9.38
B2,4,4: deutschland/deutsch/deutsche (Au-pair stays in Germany / learning German),71,31.0,2.29,8.99
B1,1,1: grüße/wünsche/liebe (Informal greeting and invitation letters),110,61.0,1.8,8.43
A2,7,7: liebe/bitte/julia (Informal notes about everyday arrangements),112,62.3,1.8,8.41
A2,4,4: deutschland/deutsch/deutsche (Au-pair stays in Germany / learning German),0,32.4,0.0,-7.17
A2,8,8: kultur/traditionen/heimatlandes (Essays on home vs host-country culture),0,27.3,0.0,-6.53
B2,12,12: geehrte/praktikum/spezialist (IT internship applications),42,19.6,2.14,6.19
A2,10,"10: arbeit/neuburg/ingo (Work, unemployment and housing)",44,21.4,2.06,6.05
B2,1,1: grüße/wünsche/liebe (Informal greeting and invitation letters),20,54.0,0.37,-6.05
B2,14,14: baby/jens/babys (Congratulations on a birth),0,19.0,0.0,-5.33
A2,12,12: geehrte/praktikum/spezialist (IT internship applications),1,20.5,0.05,-5.31
B2,10,"10: arbeit/neuburg/ingo (Work, unemployment and housing)",1,20.5,0.05,-5.27
C1,4,4: deutschland/deutsch/deutsche (Au-pair stays in Germany / learning German),14,4.4,3.15,4.9
A2,14,14: baby/jens/babys (Congratulations on a birth),37,19.9,1.86,4.73
B2,2,2: stadt/grüßen/freundlichen (Formal letters seeking housing),89,63.1,1.41,4.35
B1,14,14: baby/jens/babys (Congratulations on a birth),6,21.5,0.28,-4.2
C1,8,8: kultur/traditionen/heimatlandes (Essays on home vs host-country culture),10,3.7,2.67,3.46
B1,8,8: kultur/traditionen/heimatlandes (Essays on home vs host-country culture),16,29.5,0.54,-3.17
C1,1,1: grüße/wünsche/liebe (Informal greeting and invitation letters),0,7.7,0.0,-3.15
C1,7,7: liebe/bitte/julia (Informal notes about everyday arrangements),1,8.6,0.12,-2.96
B1,4,4: deutschland/deutsch/deutsche (Au-pair stays in Germany / learning German),22,35.0,0.63,-2.82
A1,10,"10: arbeit/neuburg/ingo (Work, unemployment and housing)",9,3.8,2.34,2.81
A1,2,2: stadt/grüßen/freundlichen (Formal letters seeking housing),4,11.8,0.34,-2.64
A1,4,4: deutschland/deutsch/deutsche (Au-pair stays in Germany / learning German),0,5.8,0.0,-2.62
C2,4,4: deutschland/deutsch/deutsche (Au-pair stays in Germany / learning German),2,0.4,4.73,2.57
A1,8,8: kultur/traditionen/heimatlandes (Essays on home vs host-country culture),0,4.9,0.0,-2.39
A1,1,1: grüße/wünsche/liebe (Informal greeting and invitation letters),4,10.1,0.39,-2.19
A1,12,12: geehrte/praktikum/spezialist (IT internship applications),0,3.7,0.0,-2.04
B1,2,2: stadt/grüßen/freundlichen (Formal letters seeking housing),59,71.3,0.83,-1.99
C1,10,"10: arbeit/neuburg/ingo (Work, unemployment and housing)",0,2.9,0.0,-1.81
B1,7,7: liebe/bitte/julia (Informal notes about everyday arrangements),78,67.4,1.16,1.75
C1,14,14: baby/jens/babys (Congratulations on a birth),0,2.7,0.0,-1.74
A2,2,2: stadt/grüßen/freundlichen (Formal letters seeking housing),56,65.9,0.85,-1.64
C1,2,2: stadt/grüßen/freundlichen (Formal letters seeking housing),13,9.0,1.44,1.52
B1,10,"10: arbeit/neuburg/ingo (Work, unemployment and housing)",18,23.1,0.78,-1.34
C2,8,8: kultur/traditionen/heimatlandes (Essays on home vs host-country culture),1,0.4,2.8,1.13
C2,7,7: liebe/bitte/julia (Informal notes about everyday arrangements),0,0.8,0.0,-1.01
A1,7,7: liebe/bitte/julia (Informal notes about everyday arrangements),14,11.2,1.25,0.96
C2,1,1: grüße/wünsche/liebe (Informal greeting and invitation letters),0,0.7,0.0,-0.95
C1,12,12: geehrte/praktikum/spezialist (IT internship applications),4,2.8,1.42,0.75
C2,10,"10: arbeit/neuburg/ingo (Work, unemployment and housing)",0,0.3,0.0,-0.55
C2,12,12: geehrte/praktikum/spezialist (IT internship applications),0,0.3,0.0,-0.54
C2,14,14: baby/jens/babys (Congratulations on a birth),0,0.3,0.0,-0.53
C2,2,2: stadt/grüßen/freundlichen (Formal letters seeking housing),1,0.9,1.16,0.17
A2,1,1: grüße/wünsche/liebe (Informal greeting and invitation letters),56,56.4,0.99,-0.07
B1,12,12: geehrte/praktikum/spezialist (IT internship applications),22,22.2,0.99,-0.04
