topic,top_words,interpreted_label,n_texts,dominant_level,dominant_level_share,dominant_source,dominant_source_share
0,"österreich, niederösterreich, oberösterreich, schulen, lockdown, krise, arbeitslose, corona, österreichs, 000, woche, österreichischen, geschlossen, schule, burgenland",Austrian regional Covid measures,745,A2,0.57,apa_lha,0.75
1,"grüße, wünsche, liebe, besuchen, stadt, freue, istanbul, schön, michael, dana, brief, danke, katharina, silvesternacht, urlaub",Informal greeting and invitation letters,260,B1,0.53,merlin_de,0.73
2,"stadt, grüßen, freundlichen, herren, zimmer, geehrte, balkon, meier, damen, garage, wohnung, bahnhofsstraße, nürnberg, 01, gastfamilie",Formal letters seeking housing,396,A2,0.36,merlin_de,0.56
3,"regierung, partei, wahl, politiker, parlament, nationalrats, gewählt, parteien, chef, nationalrat, spö, abgeordneten, fpö, regierungs, politische",Austrian domestic politics,375,A2,0.51,apa_lha,0.7
4,"deutschland, deutsch, deutsche, sprache, deutschlernen, geehrte, deutschen, bahnhofstr, englisch, meier, nürnberg, freundlichen, lernen, sprechen, schweiz",Au-pair stays in Germany / learning German,217,B2,0.4,merlin_de,0.5
5,"trump, präsident, demokraten, us, republikaner, präsidenten, washington, wahl, präsidentschafts, politiker, politische, donald, senat, kongress, biden",US politics,283,A2,0.51,apa_lha,0.66
6,"virus, krise, corona, krankheit, gestorben, woche, meldungen, pandemie, ansteckende, derzeit, china, infektionen, anschober, starben, infizierten",Covid pandemic and health,706,A2,0.52,apa_lha,0.74
7,"liebe, bitte, julia, hund, maria, fahren, grüße, hallo, leider, daniela, warte, katze, danke, fahrkarte, gekauft",Informal notes about everyday arrangements,465,A2,0.49,merlin_de,0.45
8,"kultur, traditionen, heimatlandes, ausland, kulturen, wichtig, sprache, leben, lernen, sinnvoll, land, ausländer, tradition, meinung, landes",Essays on home vs host-country culture,267,B2,0.32,elg_cefr_de,0.36
9,"brexit, großbritannien, britische, parlament, britannien, johnson, minister, britischen, verlässt, london, exit, austritt, konservativen, verlassen, englische",Brexit,154,A2,0.53,apa_lha,0.66
10,"arbeit, neuburg, ingo, wohnung, brauche, arbeitslose, arbeiten, gefunden, arbeitslos, zimmer, helfen, woche, arbeitslosigkeit, geld, hallo","Work, unemployment and housing",375,A2,0.49,apa_lha,0.57
11,"österreicher, meisten, oberösterreich, salzburg, befragten, ansteckende, krise, österreich, umfrage, urlaub, österreichern, impfungen, europäische, kroatien, verhindern",Austrian survey and opinion reporting,343,A2,0.51,apa_lha,0.6
12,"geehrte, praktikum, spezialist, firma, informatik, computer, odenwaldstraße, arbeiten, 2010, interesse, anzeige, systemkauffrau, praktikantin, erfahrung, studium",IT internship applications,169,B2,0.35,merlin_de,0.41
13,"österreichische, europa, ländern, länder, euro, österreichischen, österreichs, fußball, klima, millionen, spanien, salzburg, krise, league, europäische","Austrian/European news (travel, economy, sport)",747,B1,0.54,apa_lha,0.76
14,"baby, jens, babys, glückwünsche, mutter, heißt, maria, grüße, name, hallo, frau, wünsche, glück, vater, familie",Congratulations on a birth,303,A2,0.49,apa_lha,0.65
