topic,top_words
0,"österreich, niederösterreich, oberösterreich, schulen, lockdown, krise, arbeitslose, corona, österreichs, 000, woche, österreichischen, geschlossen, schule, burgenland"
1,"grüße, wünsche, liebe, besuchen, stadt, freue, istanbul, schön, michael, dana, brief, danke, katharina, silvesternacht, urlaub"
2,"stadt, grüßen, freundlichen, herren, zimmer, geehrte, balkon, meier, damen, garage, wohnung, bahnhofsstraße, nürnberg, 01, gastfamilie"
3,"regierung, partei, wahl, politiker, parlament, nationalrats, gewählt, parteien, chef, nationalrat, spö, abgeordneten, fpö, regierungs, politische"
4,"deutschland, deutsch, deutsche, sprache, deutschlernen, geehrte, deutschen, bahnhofstr, englisch, meier, nürnberg, freundlichen, lernen, sprechen, schweiz"
5,"trump, präsident, demokraten, us, republikaner, präsidenten, washington, wahl, präsidentschafts, politiker, politische, donald, senat, kongress, biden"
6,"virus, krise, corona, krankheit, gestorben, woche, meldungen, pandemie, ansteckende, derzeit, china, infektionen, anschober, starben, infizierten"
7,"liebe, bitte, julia, hund, maria, fahren, grüße, hallo, leider, daniela, warte, katze, danke, fahrkarte, gekauft"
8,"kultur, traditionen, heimatlandes, ausland, kulturen, wichtig, sprache, leben, lernen, sinnvoll, land, ausländer, tradition, meinung, landes"
9,"brexit, großbritannien, britische, parlament, britannien, johnson, minister, britischen, verlässt, london, exit, austritt, konservativen, verlassen, englische"
10,"arbeit, neuburg, ingo, wohnung, brauche, arbeitslose, arbeiten, gefunden, arbeitslos, zimmer, helfen, woche, arbeitslosigkeit, geld, hallo"
11,"österreicher, meisten, oberösterreich, salzburg, befragten, ansteckende, krise, österreich, umfrage, urlaub, österreichern, impfungen, europäische, kroatien, verhindern"
12,"geehrte, praktikum, spezialist, firma, informatik, computer, odenwaldstraße, arbeiten, 2010, interesse, anzeige, systemkauffrau, praktikantin, erfahrung, studium"
13,"österreichische, europa, ländern, länder, euro, österreichischen, österreichs, fußball, klima, millionen, spanien, salzburg, krise, league, europäische"
14,"baby, jens, babys, glückwünsche, mutter, heißt, maria, grüße, name, hallo, frau, wünsche, glück, vater, familie"
