topic,top_words
0,"university, students, theoretical, universities, degree, degrees, student, education, study, studies, courses, graduate, studying, subjects, educational"
1,"prison, criminals, prisons, punish, crime, criminal, prisoners, rehabilitate, society, crimes, punishment, civilized, outdated, jail, punished"
2,"imagination, dreaming, modern, industrialisation, science, opinion, dream, dreams, technology, life, imagine, nowadays, future, society, reality"
3,"feminists, feminism, feminist, women, woman, harm, society, female, rights, equality, sexes, gender, movement, political, discrimination"
4,"money, evil, rich, song, poor, greed, society, wealth, root, bad, power, people, title, reason, afford"
5,"punishment, murder, death, penalty, kill, crime, killed, crimes, killing, punished, murderer, murderers, justice, punish, criminals"
6,"religion, opium, century, marx, life, nowadays, society, title, religious, television, masses, god, reality, church, opinion"
7,"book, read, writing, books, story, written, writers, reading, write, writer, published, stories, author, readers, reader"
8,"phones, mobile, phone, mobiles, communication, devices, device, nowadays, calls, ringing, etiquette, children, people, public, privacy"
9,"english, learn, teacher, language, teachers, learning, teach, teaching, taught, school, class, learned, languages, speaking, learners"
10,"day, people, looked, time, door, walked, house, happy, night, morning, family, children, suddenly, evening, life"
11,"king, queen, royal, henry, england, london, throne, elizabeth, heir, princess, palace, monarch, castle, monarchy, empire"
12,"legislative, legislators, government, political, legislatures, policy, public, congress, vote, representatives, constituents, representation, constituency, constitution, elected"
13,"social, networks, people, relationships, life, friends, public, internet, facebook, media, privacy, network, real, communicate, society"
14,"travel, country, trip, visit, journey, north, travelling, south, canada, continent, winter, africa, land, beautiful, travellers"
